fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,TSNE1,TSNE2
Gleristone Santos,"5' 9""",145 lbs.,,,3.4,0.31,4.4,0.64,0.0,0.0,0.75,0.0,30.951439,-12.604247
Taila Santos,"5' 6""",125 lbs.,"68""",Orthodox,3.52,0.48,2.22,0.59,2.0,0.8,0.85,1.0,-6.1154203,10.786561
Marilia Santos,"5' 4""",125 lbs.,,Orthodox,4.4,0.54,4.07,0.53,1.0,1.0,0.66,1.0,27.288038,22.658289
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,3.19,0.55,1.88,0.49,0.58,1.0,0.72,0.0,8.799305,8.996051
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,1.64,0.32,3.58,0.62,1.33,0.4,0.0,0.7,-3.3187037,-19.476562
Daniel Sarafian,"5' 9""",185 lbs.,"73""",Orthodox,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7,-8.523631,-24.254288
Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,0.84,0.25,3.46,0.36,2.36,0.6,0.57,0.0,-30.257772,3.2885141
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,1.43,0.66,2.06,0.42,0.0,0.0,0.75,0.0,-8.043921,-42.173424
Yuki Sasaki,"6' 2""",185 lbs.,,Orthodox,1.09,0.43,1.2,0.57,0.43,1.0,0.66,0.0,-23.864576,-24.02349
Kyosuke Sasaki,"5' 7""",183 lbs.,,Southpaw,0.33,0.45,0.93,0.46,0.0,0.0,0.0,0.0,-16.562296,-48.985897
Yuta Sasaki,"5' 10""",125 lbs.,"71""",Southpaw,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2,-28.501457,17.583677
Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4,-63.523727,-1.3168864
Masaaki Satake,"6' 1""",220 lbs.,,Orthodox,1.4,0.35,3.76,0.41,0.0,0.0,0.58,0.0,9.067942,-44.525177
